id,lon,lat,tiv,island,route,location,MMI_med,MMI_std,prob_negligible,prob_moderate,prob_substantial,prob_very_heavy,prob_destruction
1252,-155.50499006,19.15873162,100,Hawaii,11,RIGHT,5.82,0.68,0.429114512525,0.091525903321,0.0231166452093,0.00797070870588,0.0
1253,-155.51274633,19.14616824,100,Hawaii,11,RIGHT,5.62,0.68,0.354188237834,0.062304597048,0.0157598625736,0.00492152596078,0.0
1254,-155.5204141,19.13371387,100,Hawaii,11,RIGHT,5.78,0.65,0.414807306118,0.0853272922509,0.0215198050233,0.00732752188235,0.0
1255,-155.52815557,19.12112718,100,Hawaii,11,RIGHT,5.65,0.59,0.365954214461,0.0663784478782,0.0167599108527,0.00534918137255,0.0
1256,-155.53585212,19.10868851,100,Hawaii,11,RIGHT,5.65,0.59,0.365954214461,0.0663784478782,0.0167599108527,0.00534918137255,0.0
1257,-155.54416194,19.09654925,100,Hawaii,11,RIGHT,5.05,0.56,0.100568837764,0.01635912131,0.00507744573643,3.87696078431e-05,0.0
1258,-155.55357595,19.08508418,100,Hawaii,11,RIGHT,5.2,0.53,0.172281182504,0.0215018450185,0.00620768992248,0.000591843137255,0.0
1259,-155.56084215,19.07284574,100,Hawaii,11,RIGHT,5.03,0.51,0.0907791422602,0.0161300159594,0.0050279747907,1.40424705882e-05,0.0
1260,-155.57301247,19.06433094,100,Hawaii,11,RIGHT,5.03,0.51,0.0907791422602,0.0161300159594,0.0050279747907,1.40424705882e-05,0.0
1417,-155.08693762,19.72663622,100,Hawaii,1950,RIGHT,5.25,0.28,0.195470482183,0.0244694995387,0.00687063953488,0.000909926470588,0.0
1418,-155.1099986,19.70880247,100,Hawaii,1950,RIGHT,5.22,0.29,0.181601835059,0.0226178516605,0.00645623218605,0.000711536941176,0.0
1419,-155.09959634,19.71880711,100,Hawaii,1950,RIGHT,5.42,0.29,0.27136342076,0.0386843239852,0.0101225466047,0.00242588047059,0.0
1420,-155.11688766,19.6970274,100,Hawaii,1950,RIGHT,5.4,0.29,0.262683547511,0.0367055350554,0.00966306976744,0.00221552941176,0.0
1421,-155.12834212,19.68859167,100,Hawaii,1950,RIGHT,5.31,0.31,0.222791480333,0.0287881262915,0.00784607972093,0.00137174270588,0.0
1422,-155.14153039,19.68550375,100,Hawaii,1950,RIGHT,5.31,0.31,0.222791480333,0.0287881262915,0.00784607972093,0.00137174270588,0.0
1423,-155.16963659,19.68203976,100,Hawaii,1950,RIGHT,5.26,0.37,0.200062928549,0.0251331092251,0.00701974127132,0.000980968784314,0.0
